date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-07-03,sz.002057,12.8500,13.1900,12.8000,13.1900,12.7900,5332683,69567170.0000,3,2.674610,1,3.127440,0
2017-07-04,sz.002057,13.2100,13.2300,12.9500,13.0000,13.1900,3812121,49711673.0000,3,1.911972,1,-1.440482,0
2017-07-05,sz.002057,13.0000,13.3500,12.9000,13.2400,13.0000,5829415,76522577.0000,3,2.923747,1,1.846152,0
2017-07-06,sz.002057,13.2100,13.7000,13.1300,13.6000,13.2400,10173202,136587438.0000,3,5.102376,1,2.719038,0
2017-07-07,sz.002057,13.5300,13.8800,13.4000,13.8200,13.6000,9004199,122859915.0000,3,4.516062,1,1.617642,0
2017-07-10,sz.002057,13.7500,14.3800,13.6300,14.3000,13.8200,12755275,180011796.0000,3,6.397416,1,3.473231,0
2017-07-11,sz.002057,14.1300,14.2900,13.8200,13.8600,14.3000,9074913,127624655.0000,3,4.551528,1,-3.076927,0
2017-07-12,sz.002057,13.9000,13.9800,13.4100,13.8500,13.8600,6489039,88721065.0000,3,3.254582,1,-0.072145,0
2017-07-13,sz.002057,13.8200,14.1300,13.5600,13.6500,13.8500,7983801,110603881.0000,3,4.004280,1,-1.444049,0
2017-07-14,sz.002057,13.7500,14.1200,13.7100,13.9500,13.6500,7364332,102599314.0000,3,3.693585,1,2.197804,0
2017-07-17,sz.002057,13.9500,13.9900,12.5900,12.9000,13.9500,7298931,96950770.0000,3,3.660783,1,-7.526884,0
2017-07-18,sz.002057,12.8100,13.3600,12.8100,13.3000,12.9000,4569194,59995203.0000,3,2.291682,1,3.100780,0
2017-07-19,sz.002057,13.3200,13.8800,13.2400,13.7600,13.3000,10131193,138036893.0000,3,5.081306,1,3.458647,0
2017-07-20,sz.002057,13.6900,14.2200,13.6100,13.7700,13.7600,8743145,121829615.0000,3,4.385130,1,0.072676,0
2017-07-21,sz.002057,14.1200,14.2800,13.8900,13.9700,13.7700,10340814,145835268.0000,3,5.186442,1,1.452431,0
2017-07-24,sz.002057,13.8500,14.3400,13.8500,14.0800,13.9700,8298121,117039055.0000,3,4.161928,1,0.787399,0
2017-07-25,sz.002057,14.0000,14.6800,13.9400,14.6400,14.0800,13953107,201397297.0000,3,6.998189,1,3.977276,0
2017-07-26,sz.002057,14.7000,14.8400,14.3800,14.7700,14.6400,14066072,205713508.0000,3,7.054847,1,0.887979,0
2017-07-27,sz.002057,14.6900,14.8600,14.3100,14.3700,14.7700,10228000,149049341.0000,3,5.129860,1,-2.708196,0
2017-07-28,sz.002057,14.4300,14.9900,14.3500,14.9900,14.3700,14461440,213531653.0000,3,7.253144,1,4.314543,0
2017-07-31,sz.002057,15.1000,15.6000,14.9300,15.5500,14.9900,16675986,255181146.0000,3,8.363851,1,3.735827,0
2017-08-01,sz.002057,15.7000,15.8500,14.8500,15.0400,15.5500,13791419,209853389.0000,3,6.917095,1,-3.279744,0
2017-08-02,sz.002057,15.0900,15.2700,14.6500,14.8300,15.0400,10701014,160031769.0000,3,5.367100,1,-1.396277,0
2017-08-03,sz.002057,14.7500,15.2000,14.7100,15.1700,14.8300,9449308,141981686.0000,3,4.739306,1,2.292651,0
2017-08-04,sz.002057,15.1900,15.2900,14.5400,14.5700,15.1700,8729300,130717219.0000,3,4.378186,1,-3.955177,0
2017-08-07,sz.002057,14.6100,15.2200,14.4000,15.2000,14.5700,9497231,141869484.0000,3,4.763342,1,4.323954,0
