date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-08-03,sz.002057,7.8000,8.5600,7.8000,8.5600,7.7800,45722693,375504252.3300,3,8.188000,1,10.025700,0
2020-08-04,sz.002057,9.0000,9.0000,8.2200,8.2900,8.5600,66620740,565650623.0800,3,11.930500,1,-3.154200,0
2020-08-05,sz.002057,8.2000,9.0000,8.2000,8.6900,8.2900,66751313,572728631.4400,3,11.953800,1,4.825100,0
2020-08-06,sz.002057,8.5600,8.9800,8.5100,8.6900,8.6900,57526867,502836089.9400,3,10.301900,1,0.000000,0
2020-08-07,sz.002057,8.6000,9.1800,8.3300,9.0500,8.6900,72468603,640505061.7200,3,12.977700,1,4.142700,0
2020-08-10,sz.002057,8.9300,9.4600,8.8600,8.9500,9.0500,63308000,579975763.3100,3,11.337200,1,-1.105000,0
2020-08-11,sz.002057,8.8600,9.1900,8.7400,8.7500,8.9500,49998851,450592533.0600,3,8.953800,1,-2.234600,0
2020-08-12,sz.002057,8.6200,8.7000,8.2900,8.5000,8.7500,38236149,323778922.7600,3,6.847300,1,-2.857100,0
2020-08-13,sz.002057,8.4800,8.5600,8.3700,8.4000,8.5000,22106292,187352990.2200,3,3.958800,1,-1.176500,0
2020-08-14,sz.002057,8.3900,8.5600,8.3200,8.4600,8.4000,19166570,162144136.8000,3,3.432400,1,0.714300,0
2020-08-17,sz.002057,8.4500,8.6500,8.3800,8.6000,8.4600,24294202,207010139.7100,3,4.350600,1,1.654800,0
2020-08-18,sz.002057,8.6200,8.6300,8.3900,8.4500,8.6000,24049534,204198068.9600,3,4.306800,1,-1.744200,0
2020-08-19,sz.002057,8.4700,8.6300,8.3700,8.3800,8.4500,23135829,196855873.8400,3,4.143200,1,-0.828400,0
2020-08-20,sz.002057,8.3300,8.3400,7.9600,7.9900,8.3800,26380254,213456933.4500,3,4.724200,1,-4.653900,0
2020-08-21,sz.002057,7.9900,8.0700,7.9000,7.9900,7.9900,12758975,101947191.5000,3,2.284900,1,0.000000,0
2020-08-24,sz.002057,8.0900,8.1800,7.9500,8.0400,7.9900,10505600,84545288.2500,3,1.881300,1,0.625800,0
2020-08-25,sz.002057,8.0500,8.0800,7.8500,7.8900,8.0400,13691760,109081150.1900,3,2.451900,1,-1.865700,0
2020-08-26,sz.002057,7.9100,7.9300,7.6400,7.7100,7.8900,13974489,108938510.8000,3,2.502600,1,-2.281400,0
2020-08-27,sz.002057,7.7200,7.8500,7.6600,7.8500,7.7100,9632675,75033071.9200,3,1.725000,1,1.815800,0
2020-08-28,sz.002057,7.8300,8.0400,7.7700,7.9700,7.8500,12855380,101929070.8000,3,2.302100,1,1.528700,0
