date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2018-01-31,sz.002057,5.5914645800,5.7124545400,5.0037990600,5.0383676200,56713543,708736951.3800,2,28.444713,-9.891808
2018-02-28,sz.002057,5.0772572500,5.0772572500,4.2044011100,4.8871301700,37086819,395174314.5700,2,18.600917,-3.001715
2018-03-30,sz.002057,4.8568826800,5.4143007100,4.5803342000,5.2198525600,74999353,884958366.4200,2,37.615972,6.808134
2018-04-27,sz.002057,5.1852840000,5.2155314900,4.5932974100,4.9692305000,43878081,499363743.3100,2,22.007079,-4.801325
2018-05-31,sz.002057,4.9821937100,5.3322003800,4.7877455600,5.2025682800,50228225,591755241.5600,2,27.346604,4.695652
2018-06-29,sz.002057,5.1420733000,5.3149161000,4.0250009100,4.4977579500,67259536,528873615.1500,2,24.492832,-13.547423
2018-07-31,sz.002057,4.5043240200,4.6356454200,4.2088508700,4.5634186500,54193440,369010891.3700,2,18.120502,1.459854
2018-08-31,sz.002057,4.5699847200,4.5765507900,4.0512651900,4.1169258900,39649259,256820495.5800,2,13.257407,-9.784173
2018-09-28,sz.002057,4.0840955400,4.5765507900,3.9724723500,4.3467383400,72455733,476392229.0700,2,24.226812,5.582137
2018-10-31,sz.002057,4.2482472900,4.3073419200,3.5522438700,3.9921705600,51687825,308060032.7500,2,16.251321,-8.157100
2018-11-30,sz.002057,3.9790384200,4.4386633200,3.9068116500,4.0512651900,77413123,480926999.7300,2,24.218640,1.480263
2018-12-28,sz.002057,4.1169258900,4.4452293900,3.7360938300,3.8214527400,40716889,255657220.4500,2,12.738249,-5.672609
2019-01-31,sz.002057,3.8411509500,4.1431901700,3.7492259700,3.8214527400,35502766,217215480.5300,2,11.107015,0.000000
2019-02-28,sz.002057,3.7951884600,4.6816079100,3.7951884600,4.4911918800,93069107,626643120.1900,2,29.116603,17.525773
2019-03-29,sz.002057,4.4911918800,6.0933129600,4.3927008300,5.0558739000,267951820,2122943103.5600,2,83.828534,12.573099
2019-04-30,sz.002057,5.0821381800,8.4242678100,5.0558739000,7.9449447000,608649267,6588261137.4400,2,190.415485,57.142857
2019-05-31,sz.002057,8.0106054000,12.5411937000,6.7367878200,9.7506139500,1539375270,22171692921.4300,2,481.592444,22.727273
2019-06-28,sz.002057,9.6849532500,16.1751099500,8.0368696800,13.1936598000,1764542249,25139620110.2400,2,432.610668,35.311062
2019-07-31,sz.002057,12.5597302000,13.8473997000,9.3405564500,9.8160036500,1096025879,12653556767.0300,2,228.593900,-25.600601
2019-08-30,sz.002057,9.7169521500,11.5890255000,9.4792285500,10.5390796000,1276719381,13674659609.8000,2,266.280500,7.366297
2019-09-30,sz.002057,10.3805972000,12.8965053000,9.5089440000,9.7070470000,955296405,10755781480.3900,2,199.242500,-7.894737
2019-10-31,sz.002057,9.6872367000,10.4697435500,7.8646891000,7.8745942500,317961394,3002493386.3700,2,66.315700,-18.877551
2019-11-29,sz.002057,7.8547839500,9.1127380000,7.7854479000,7.9934560500,428520976,3571479306.3400,2,89.375100,1.509434
2019-12-31,sz.002057,7.9934560500,9.4891337000,7.9043097000,9.0929277000,587777268,5129034862.8400,2,122.590400,13.754647
2020-01-23,sz.002057,9.1820740500,9.4495131000,7.8944045500,7.9439303000,340305469,3073998963.4800,2,70.976200,-12.636166
2020-02-28,sz.002057,7.1515183000,8.6967217000,6.4383475000,7.3298110000,528567333,4148476842.5600,2,110.241200,-7.730673
2020-03-31,sz.002057,7.4585779500,8.1222230000,6.3789166000,6.7850277500,311715761,2278367869.5600,2,65.013100,-7.432432
2020-04-30,sz.002057,6.7156917000,7.2010440500,5.9926157500,6.4284423500,225341074,1544080774.7700,2,46.998700,-5.255474
2020-05-29,sz.002057,6.4284423500,8.5481444500,6.3492011500,8.1717487500,743625666,5771824629.6900,2,155.095100,27.118644
2020-06-30,sz.002057,7.9241200000,8.1717487500,6.7500000000,6.8500000000,347007681,2628096934.5600,2,72.374000,-16.174606
2020-07-31,sz.002057,6.8500000000,8.4900000000,6.8500000000,7.7800000000,621347274,4833016309.0200,2,117.066500,13.576642
2020-08-31,sz.002057,7.8000000000,9.4600000000,7.6400000000,7.9500000000,684630976,5855484138.9800,2,122.603800,2.185090
2020-09-30,sz.002057,7.9200000000,8.0500000000,7.0900000000,7.1700000000,178879522,1354884555.4800,2,32.034000,-9.811321
2020-10-30,sz.002057,7.2300000000,7.5500000000,7.0500000000,7.0600000000,99363342,729314482.9100,2,17.559800,-1.534170
2020-11-30,sz.002057,7.0800000000,8.3200000000,6.8800000000,7.8500000000,299361327,2306625860.6600,2,52.036700,11.189802
